Name,Position,Appearances,Club,Age,Country
Dominic Hyam,Defender,9,Coventry City,25 ,Scotland
Sam Surridge,Forward,12,Stoke City,23 ,England
Ryan Christie,Midfielder,18,AFC Bournemouth,26 ,Scotland
Ryan Nyambe,Defender,7,Blackburn Rovers,23 ,England
Karlan Ahearne-Grant,Forward,9,West Bromwich Albion,23 ,England
Billy Mitchell,Midfielder,7,Millwall,0 ,England
Ryan Giles,Midfielder,6,Cardiff City,21 ,England
Adam Reach,Defender,6,West Bromwich Albion,28 ,England
Rayhaan Rahim Amari Tulloch,Midfielder,1,West Bromwich Albion,20 ,England
Romal Palmer,Midfielder,8,Barnsley,22 ,England
Joe Ward,Forward,10,Peterborough United,26 ,England
Alejandro Vallejo Mínguez,Midfielder,5,Huddersfield Town,29 ,Spain
Benjamin Williams,Defender,4,Barnsley,22 ,Wales
Jordi Osei-Tutu,Defender,2,Nottingham Forest,22 ,England
Kwame Poku,Midfielder,1,Peterborough United,0 ,England
Sam Baldock,Forward,6,Derby County,32 ,England
Jahmari Clarke,Forward,7,Reading U23,0 ,England
Andre Dozzell,Midfielder,8,Queens Park Rangers,22 ,England
Ryan Woods,Goalkeeper,5,Flint Town United,0 ,England
James Scott,Forward,6,Hibernian,21 ,Scotland
Oluwatosin Adarabioyo,Defender,10,Fulham,23 ,England
Neeskens Kebano,Midfielder,10,Fulham,29 ,Congo DR
Sam McCallum,Defender,4,Queens Park Rangers,0 ,England
Frankie Kent,Defender,10,Peterborough United,25 ,England
Claudio Gomes,Midfielder,3,Barnsley,21 ,France
Jack Robinson,Midfielder,3,Middlesbrough U23,20 ,England
Gavin Kilkenny,Midfielder,4,AFC Bournemouth,21 ,Republic of Ireland
Chukwuemeka Ademola Amachi Aneke,Midfielder,9,Birmingham City,28 ,England
Fraizer Campbell,Forward,8,Huddersfield Town,33 ,England
Abdul Rahman Baba,Defender,5,Reading,27 ,Ghana
Sam Bowen,Midfielder,2,Cardiff City,20 ,Wales
Daniel Johnson,Midfielder,12,Preston North End,28 ,Jamaica
Benik Afobe,Forward,8,Millwall,28 ,Congo DR
Dan McNamara,Midfielder,3,Millwall,22 ,England
Will Vaulks,Midfielder,7,Cardiff City,27 ,England
Carlos Mendes Gomes,Forward,4,Luton Town,0 ,Spain
Souleymane Bamba,Defender,4,Middlesbrough U23,36 ,Côte d'Ivoire
Jordan Hugill,Forward,5,West Bromwich Albion,29 ,England
James Chester,Defender,4,Stoke City,32 ,Wales
